event_ticker,fee_cost,market_result,no_count_fp,no_total_cost_dollars,revenue,settled_time,ticker,value,yes_count_fp,yes_total_cost_dollars
KXGOLDD-26JUL0217,0.066400,yes,5.00,0.550000,0,2026-07-03T02:00:54.662762Z,KXGOLDD-26JUL0217-T4065,100,5.00,4.490000
KXGOLDD-26JUL0217,0.063900,no,5.00,3.800000,500,2026-07-03T02:00:54.662624Z,KXGOLDD-26JUL0217-T4155,0,0.00,0.000000
KXGOLDD-26JUL0217,0.065300,no,4.00,2.520000,400,2026-07-03T02:00:54.662624Z,KXGOLDD-26JUL0217-T4145,0,0.00,0.000000
KXGOLDD-26JUL0217,0.066700,no,4.00,2.440000,400,2026-07-03T02:00:54.662624Z,KXGOLDD-26JUL0217-T4135,0,0.00,0.000000
KXGOLDD-26JUL0217,0.031100,yes,0.00,0.000000,300,2026-07-03T02:00:54.662624Z,KXGOLDD-26JUL0217-T4085,100,3.00,2.459000
KXGOLDD-26JUL0217,0.041400,yes,0.00,0.000000,400,2026-07-03T02:00:54.662624Z,KXGOLDD-26JUL0217-T4075,100,4.00,3.280000
KXGOLDD-26JUL0217,0.027600,yes,0.00,0.000000,500,2026-07-03T02:00:54.662624Z,KXGOLDD-26JUL0217-T4055,100,5.00,4.570000
KXGOLDD-26JUL0117,0.021500,no,3.00,2.730000,0,2026-07-01T22:10:38.438832Z,KXGOLDD-26JUL0117-T4129,0,3.00,0.060000
KXGOLDD-26JUL0117,0.027400,no,2.00,1.580000,0,2026-07-01T22:10:38.438832Z,KXGOLDD-26JUL0117-T4109,0,2.00,0.060000
KXGOLDD-26JUL0117,0.016400,no,1.00,0.690000,0,2026-07-01T22:10:38.438832Z,KXGOLDD-26JUL0117-T4099,0,1.00,0.020000
KXGOLDD-26JUL0117,0.032000,no,2.00,1.620000,0,2026-07-01T22:10:38.438832Z,KXGOLDD-26JUL0117-T4089,0,2.00,0.160000
KXGOLDD-26JUL0117,0.027200,no,1.00,0.650000,0,2026-07-01T22:10:38.438832Z,KXGOLDD-26JUL0117-T4079,0,1.00,0.200000
KXGOLDD-26JUL0117,0.054800,no,2.00,1.000000,0,2026-07-01T22:10:38.438832Z,KXGOLDD-26JUL0117-T4059,0,2.00,1.660000
KXGOLDD-26JUL0117,0.061000,no,3.00,1.980000,200,2026-07-01T22:10:38.438571Z,KXGOLDD-26JUL0117-T4069,0,1.00,0.720000
KXGOLDD-26JUL0117,0.091700,no,6.00,4.320000,300,2026-07-01T22:10:38.438571Z,KXGOLDD-26JUL0117-T4049,0,3.00,2.670000
KXGOLDD-26JUL0117,0.196900,no,15.00,11.250000,1500,2026-07-01T22:10:38.438571Z,KXGOLDD-26JUL0117-T4039,0,0.00,0.000000
KXGOLDD-26JUL0117,0.210300,yes,6.00,2.340000,1000,2026-07-01T22:10:38.438571Z,KXGOLDD-26JUL0117-T4029,100,16.00,13.840000
KXWTI-26JUN3014,0.010900,no,1.00,0.840000,0,2026-07-01T17:01:00.840069Z,KXWTI-26JUN3014-T71.99,0,1.00,0.020000
KXWTI-26JUN3014,0.027600,no,1.00,0.430000,0,2026-07-01T17:01:00.840069Z,KXWTI-26JUN3014-T69.99,0,1.00,0.820000
KXBRENTD-26JUN3017,0.022300,no,2.00,1.720000,0,2026-06-30T22:10:51.944609Z,KXBRENTD-26JUN3017-T75.50,0,2.00,0.080000
KXBRENTD-26JUN3017,0.015900,no,1.00,0.750000,0,2026-06-30T22:10:51.944609Z,KXBRENTD-26JUN3017-T75,0,1.00,0.040000
KXBRENTD-26JUN3017,0.024100,no,1.00,0.720000,0,2026-06-30T22:10:51.944609Z,KXBRENTD-26JUN3017-T73.50,0,1.00,0.830000
KXBRENTD-26JUN3017,0.015900,no,2.00,1.740000,200,2026-06-30T22:10:51.944546Z,KXBRENTD-26JUN3017-T74.50,0,0.00,0.000000
KXBRENTD-26JUN3017,0.015300,no,1.00,0.680000,100,2026-06-30T22:10:51.944546Z,KXBRENTD-26JUN3017-T74,0,0.00,0.000000
KXBRENTD-26JUN3017,0.012600,yes,0.00,0.000000,200,2026-06-30T22:10:51.944546Z,KXBRENTD-26JUN3017-T73,100,2.00,1.800000
KXBRENTD-26JUN2517,0.269100,no,10.00,8.400000,0,2026-06-25T22:10:50.51113Z,KXBRENTD-26JUN2517-T76,0,10.00,5.000000
KXBRENTD-26JUN2517,0.262900,no,14.00,11.280000,0,2026-06-25T22:10:50.51113Z,KXBRENTD-26JUN2517-T75.50,0,14.00,7.180000
KXBRENTD-26JUN2517,0.525900,yes,17.00,12.010000,0,2026-06-25T22:10:50.51113Z,KXBRENTD-26JUN2517-T75,100,17.00,8.150000
KXBRENTD-26JUN2517,0.268700,yes,10.00,7.740000,0,2026-06-25T22:10:50.51113Z,KXBRENTD-26JUN2517-T74.50,100,10.00,3.980000
KXBRENTD-26JUN2517,0.295300,yes,10.00,6.940000,0,2026-06-25T22:10:50.51113Z,KXBRENTD-26JUN2517-T74,100,10.00,3.000000
KXBRENTD-26JUN2417,0.075700,no,6.30,4.914000,630,2026-06-24T22:51:03.198857Z,KXBRENTD-26JUN2417-T76,0,0.00,0.000000
KXBRENTD-26JUN2417,0.053500,no,3.97,2.937800,397,2026-06-24T22:51:03.198857Z,KXBRENTD-26JUN2417-T75.50,0,0.00,0.000000
KXBRENTD-26JUN2417,0.042700,no,6.00,5.313400,600,2026-06-24T22:51:03.198857Z,KXBRENTD-26JUN2417-T74,0,0.00,0.000000
KXBRENTD-26JUN2417,0.085900,no,3.00,0.720000,0,2026-06-24T22:51:03.198857Z,KXBRENTD-26JUN2417-T73.50,0,3.83,2.949100
KXBRENTD-26JUN2417,0.073700,yes,5.00,0.450000,68,2026-06-24T22:51:03.198857Z,KXBRENTD-26JUN2417-T73,100,5.68,4.941600
KXBRENTD-26JUN2317,0.038800,no,4.60,3.956000,460,2026-06-23T22:20:51.228356Z,KXBRENTD-26JUN2317-T77,0,0.00,0.000000
KXBRENTD-26JUN2317,0.028000,yes,0.00,0.000000,1038,2026-06-23T22:20:51.228356Z,KXBRENTD-26JUN2317-T76.50,100,10.38,9.964800
KXBRENTD-26JUN1817,0.189100,no,12.00,9.720000,0,2026-06-18T22:11:08.493263Z,KXBRENTD-26JUN1817-T80,0,12.00,2.710000
KXBRENTD-26JUN1817,0.041900,no,1.97,1.359300,97,2026-06-18T22:11:08.493133Z,KXBRENTD-26JUN1817-T79.50,0,1.00,0.230000
KXBRENTD-26JUN1817,0.029600,yes,0.00,0.000000,400,2026-06-18T22:11:08.493133Z,KXBRENTD-26JUN1817-T79,100,4.00,3.520000
KXBRENTD-26JUN1717,0.033500,no,1.00,0.630000,0,2026-06-17T22:11:13.540709Z,KXBRENTD-26JUN1717-T80,0,1.00,0.420000
KXBRENTD-26JUN1717,0.046500,yes,4.00,0.160000,0,2026-06-17T22:11:13.540709Z,KXBRENTD-26JUN1717-T78,100,4.00,3.400000
KXBRENTD-26JUN1717,0.083000,no,4.00,3.100000,200,2026-06-17T22:11:13.540551Z,KXBRENTD-26JUN1717-T81,0,2.00,1.140000
KXBRENTD-26JUN1717,0.072000,no,3.00,2.150000,100,2026-06-17T22:11:13.540551Z,KXBRENTD-26JUN1717-T80.50,0,2.00,1.360000
KXBRENTD-26JUN1717,0.091300,no,4.00,0.340000,0,2026-06-17T22:11:13.540551Z,KXBRENTD-26JUN1717-T79,0,6.00,4.740000
KXBRENTD-26JUN1717,0.070600,yes,3.00,0.180000,300,2026-06-17T22:11:13.540551Z,KXBRENTD-26JUN1717-T78.50,100,6.00,4.950000
KXBRENTD-26JUN1617,0.078600,yes,5.00,4.250000,0,2026-06-16T22:31:23.452595Z,KXBRENTD-26JUN1617-T79.50,100,5.00,3.300000
KXBRENTD-26JUN1617,0.076200,yes,0.00,0.000000,500,2026-06-16T22:31:23.452365Z,KXBRENTD-26JUN1617-T79,100,5.00,3.400000
KXBRENTD-26JUN1517,0.353300,no,20.00,17.100000,0,2026-06-15T22:11:03.451758Z,KXBRENTD-26JUN1517-T86,0,20.00,3.100000
KXBRENTD-26JUN1517,0.401800,no,23.00,18.840000,0,2026-06-15T22:11:03.451758Z,KXBRENTD-26JUN1517-T85.50,0,23.00,2.790000
KXBRENTD-26JUN1517,0.760100,no,32.00,22.414400,0,2026-06-15T22:11:03.451758Z,KXBRENTD-26JUN1517-T84,0,32.00,6.500000
KXBRENTD-26JUN1517,0.583400,no,20.00,15.600000,0,2026-06-15T22:11:03.451758Z,KXBRENTD-26JUN1517-T83.50,0,20.00,8.840000
KXBRENTD-26JUN1517,0.000000,yes,0.00,0.000000,0,2026-06-15T22:11:03.451758Z,KXBRENTD-26JUN1517-T83,100,0.00,0.000000
KXBRENTD-26JUN1517,0.481600,no,31.00,25.470000,1000,2026-06-15T22:11:03.451396Z,KXBRENTD-26JUN1517-T85,0,21.00,3.130000
KXBRENTD-26JUN1517,0.587100,no,29.00,22.800000,1000,2026-06-15T22:11:03.451396Z,KXBRENTD-26JUN1517-T84.50,0,19.00,5.261400
KXBRENTD-26JUN1117,0.032500,no,1.00,0.690000,0,2026-06-11T22:10:57.003194Z,KXBRENTD-26JUN1117-T94.50,0,1.00,0.530000
KXBRENTD-26JUN1117,0.046700,no,2.00,1.300000,0,2026-06-11T22:10:57.003194Z,KXBRENTD-26JUN1117-T94,0,2.00,0.240000
KXBRENTD-26JUN1117,0.137900,no,4.00,2.280000,0,2026-06-11T22:10:57.003194Z,KXBRENTD-26JUN1117-T93.50,0,4.00,1.900000
KXBRENTD-26JUN1117,0.135700,no,4.00,1.780000,0,2026-06-11T22:10:57.003194Z,KXBRENTD-26JUN1117-T93,0,4.00,2.400000
KXBRENTD-26JUN1117,0.237800,no,8.00,5.560000,0,2026-06-11T22:10:57.003194Z,KXBRENTD-26JUN1117-T92.50,0,8.00,5.280000
KXBRENTD-26JUN1117,0.063800,no,2.00,0.600000,0,2026-06-11T22:10:57.003194Z,KXBRENTD-26JUN1117-T92,0,2.00,1.140000
KXBRENTD-26JUN1117,0.038400,no,5.00,4.500000,0,2026-06-11T22:10:57.003194Z,KXBRENTD-26JUN1117-T91.50,0,5.00,0.100000
KXBRENTD-26JUN1117,0.067000,no,5.00,3.900000,0,2026-06-11T22:10:57.003194Z,KXBRENTD-26JUN1117-T91,0,5.00,0.100000
KXBRENTD-26JUN1117,0.168000,yes,5.00,3.000000,0,2026-06-11T22:10:57.003194Z,KXBRENTD-26JUN1117-T89,100,5.00,3.000000
KXBRENTD-26JUN1117,0.087500,yes,5.00,0.500000,0,2026-06-11T22:10:57.003194Z,KXBRENTD-26JUN1117-T88.50,100,5.00,4.000000
KXBRENTD-26JUN1017,0.423700,yes,15.00,11.400000,0,2026-06-10T22:21:04.57105Z,KXBRENTD-26JUN1017-T94,100,15.00,10.050000
KXBRENTD-26JUN1017,0.369900,yes,13.00,7.660000,0,2026-06-10T22:21:04.57105Z,KXBRENTD-26JUN1017-T93.50,100,13.00,9.170000
KXBRENTD-26JUN1017,0.117700,yes,4.00,2.160000,0,2026-06-10T22:21:04.57105Z,KXBRENTD-26JUN1017-T93,100,4.00,3.120000
KXBRENTD-26JUN1017,0.063900,no,5.00,3.800000,500,2026-06-10T22:21:04.57077Z,KXBRENTD-26JUN1017-T95,0,0.00,0.000000
KXBRENTD-26JUN1017,0.216700,yes,25.00,21.000000,0,2026-06-10T22:21:04.57077Z,KXBRENTD-26JUN1017-T94.50,100,0.00,0.000000
KXBRENTD-26JUN1017,0.138100,yes,0.00,0.000000,1500,2026-06-10T22:21:04.57077Z,KXBRENTD-26JUN1017-T92.50,100,15.00,12.668000
KXBRENTD-26JUN1017,0.033600,yes,0.00,0.000000,300,2026-06-10T22:21:04.57077Z,KXBRENTD-26JUN1017-T91.50,100,3.00,2.400000
KXBRENTD-26JUN1017,0.044700,yes,0.00,0.000000,500,2026-06-10T22:21:04.57077Z,KXBRENTD-26JUN1017-T91,100,5.00,4.250000
KXBRENTD-26JUN0917,0.384600,yes,13.00,8.650000,0,2026-06-09T22:21:04.516394Z,KXBRENTD-26JUN0917-T91.50,100,13.00,7.420000
KXBRENTD-26JUN0917,0.418800,yes,15.00,6.510000,0,2026-06-09T22:21:04.516394Z,KXBRENTD-26JUN0917-T90.00,100,15.00,12.100000
KXBRENTD-26JUN0917,0.231100,yes,10.00,3.400000,0,2026-06-09T22:21:04.516394Z,KXBRENTD-26JUN0917-T89.50,100,10.00,8.800000
KXBRENTD-26JUN0917,0.037000,no,5.00,4.400000,500,2026-06-09T22:21:04.516185Z,KXBRENTD-26JUN0917-T95,0,0.00,0.000000
KXBRENTD-26JUN0917,0.037700,no,4.00,3.360000,400,2026-06-09T22:21:04.516185Z,KXBRENTD-26JUN0917-T94.50,0,0.00,0.000000
KXBRENTD-26JUN0917,0.037200,no,3.00,2.310000,300,2026-06-09T22:21:04.516185Z,KXBRENTD-26JUN0917-T94,0,0.00,0.000000
KXBRENTD-26JUN0917,0.029400,no,2.00,1.400000,200,2026-06-09T22:21:04.516185Z,KXBRENTD-26JUN0917-T93.50,0,0.00,0.000000
KXBRENTD-26JUN0917,0.069300,no,8.00,6.840000,800,2026-06-09T22:21:04.516185Z,KXBRENTD-26JUN0917-T93,0,0.00,0.000000
KXBRENTD-26JUN0917,0.143500,no,12.00,9.323200,1200,2026-06-09T22:21:04.516185Z,KXBRENTD-26JUN0917-T92.50,0,0.00,0.000000
KXBRENTD-26JUN0917,0.277700,no,12.00,6.740000,600,2026-06-09T22:21:04.516185Z,KXBRENTD-26JUN0917-T92.00,0,6.00,2.580000
KXBRENTD-26JUN0917,0.311900,yes,8.00,5.430000,600,2026-06-09T22:21:04.516185Z,KXBRENTD-26JUN0917-T91.00,100,14.00,9.900000
KXBRENTD-26JUN0917,0.181400,yes,4.00,1.440000,800,2026-06-09T22:21:04.516185Z,KXBRENTD-26JUN0917-T90.50,100,12.00,10.000000
KXBRENTD-26JUN0817,0.039600,no,5.00,4.350000,500,2026-06-08T22:11:14.562143Z,KXBRENTD-26JUN0817-T97,0,0.00,0.000000
KXBRENTD-26JUN0817,0.041400,no,4.00,3.280000,400,2026-06-08T22:11:14.562143Z,KXBRENTD-26JUN0817-T96.50,0,0.00,0.000000
KXBRENTD-26JUN0817,0.038400,no,3.00,2.280000,300,2026-06-08T22:11:14.562143Z,KXBRENTD-26JUN0817-T96,0,0.00,0.000000
KXBRENTD-26JUN0817,0.099600,no,10.00,8.283400,1000,2026-06-08T22:11:14.562143Z,KXBRENTD-26JUN0817-T95.50,0,0.00,0.000000
KXBRENTD-26JUN0817,0.112000,yes,0.00,0.000000,1000,2026-06-08T22:11:14.562143Z,KXBRENTD-26JUN0817-T93.50,100,10.00,8.000000
KXBRENTD-26JUN0817,0.037200,yes,0.00,0.000000,300,2026-06-08T22:11:14.562143Z,KXBRENTD-26JUN0817-T93,100,3.00,2.310000
